movement,x1,y1,x2,y2,cross,direction
1,525,386,435,480,False,
1,240,530,435,480,False,
1,125,390,435,480,True,True
2,228,558,494,594,True,True
2,94,664,558,301,False,
2,715,330,340,775,False,
3,1174,515,663,500,True,False
3,600,377,615,486,False,
3,1072,624,615,486,False,
4,1010,424,964,524,True,True
4,860,455,1101,619,False,
4,860,455,860,330,False,
5,825,500,807,554,True,True
5,717,492,1262,534,False,
5,680,545,1262,588,False,
6,567,511,652,682,True,True
6,891,413,167,644,False,
7,1105,562,1105,629,True,False
7,1241,538,969,586,False,
8,790,534,986,545,True,False
8,902,336,667,734,False,
8,1054,350,896,784,False,
9,726,526,660,732,True,True
9,219,436,760,530,False,
9,930,680,760,530,False,
9,280,562,660,732,False,
10,405,498,18,620,True,False
10,282,340,535,673,False,
11,913,525,893,569,True,False
11,92,455,1203,549,False,
11,92,502,1203,596,False,
12,320,435,845,490,True,False
12,845,490,834,516,False,
12,211,520,834,516,False,
